barrio,lat,lon
ACACIAS,40.4040749,-3.7059572
ADELFAS,40.4019026,-3.6709579
ALMAGRO,40.4336632,-3.6942857
ALMENARA,40.4701962,-3.6936379
ALMENDRALES,40.3843762,-3.6992931
ARAPILES,40.4347638,-3.7083155
ATALAYA,40.464389,-3.6651106
ATOCHA,40.406975,-3.688582
BELLAS VISTAS,40.4526848,-3.7072396
BERRUGUETE,40.4602706,-3.7043452
CASA DE CAMPO,40.4241907,-3.755858
CASTELLANA,40.4333241,-3.6841316
CASTILLA,40.4763551,-3.6800358
CASTILLEJOS,40.4598788,-3.694067
CHOPERA,40.3950981,-3.6994819
CIUDAD UNIVERSITARIA,40.4438005,-3.7264206
COLINA,40.4580463,-3.6602556
CORTES,40.4147791,-3.6975842
CUATRO CAMINOS,40.4467812,-3.7039643
DELICIAS,40.3967843,-3.6900384
EL VISO,40.4448882,-3.6847127
EMBAJADORES,40.4095856,-3.7029851
ESTRELLA,40.4117618,-3.6669977
FUENTE DEL BERRO,40.424977,-3.6636998
GAZTAMBIDE,40.4349358,-3.7147092
GOYA,40.4246991,-3.6762001
GUINDALERA,40.436356,-3.6680189
IBIZA,40.4189526,-3.6737251
IMPERIAL,40.4057995,-3.7186854
JUSTICIA,40.4232759,-3.6966805
LA PAZ,40.4812105,-3.6966318
LEGAZPI,40.3914432,-3.6949558
LISTA,40.4326938,-3.6745087
PALACIO,40.4153295,-3.7147092
PALOS DE MOGUER,40.4039759,-3.694602
PRADOLONGO,40.376647,-3.7077784
PROSPERIDAD,40.443946,-3.6701659
PUEBLO NUEVO,40.4350329,-3.644171
QUINTANA,40.4330769,-3.6490452
RECOLETOS,40.4243637,-3.6857429
SAN ISIDRO,40.3970503,-3.7293542
SAN JUAN BAUTISTA,40.4506953,-3.6563079
SAN PASCUAL,40.4426834,-3.6534541
SOL,40.4178272,-3.7022221
TRAFALGAR,40.4330613,-3.7010182
UNIVERSIDAD,40.425426,-3.7060234
VALDEACEDERAS,40.4679108,-3.7034226
VALDEZARZA,40.4649188,-3.7165189
VALLEHERMOSO,40.4431893,-3.7108233
VENTAS,40.4310642,-3.6635419
